,Reference,M X 10- 5 (g mol-I),[Ttl (cm 3 g-I),R. (om),RH (nm)
0,23,0.134,14.2,,
1,,0.195,17.4,,
2,,0.257,19.7,,
3,,0~380,24.9,,
4,,0.401,25.6,,
5,,0.548,30.0,,
6,,0.820,37.0,,
7,,1.15,44.8,,
8,,1.50,49.9,,
9,,1.62,52.2,,
10,,2.28,63.5,,
11,,2.40,63.0,,
12,,3.94,83.5,20.6,
13,,5.13,,23.3,
14,,5.37,96.4,24.6,
15,,5.91,102,25.4,
16,,6.00,103,,
17,,14.1,,37.7,
18,,15.6,166,42.5,
19,,16.1,170,42.4,
20,,22.25,197,50.1,
21,29,3.39,80.9,,
22,30,3.26,75.3,19.1,14.35
23,,5.68,99.3,25.3,19.27
24,,5.78,100,25.5,19.53
25,,24.4,206,,41.17
26,,72.4,355,,69.15
