,Reference,M X 10- 5 (g mol-I),[111 (cm 3 g-I),Rg (nm),RH (nm),A2 X 10 4 (cm 3 mol g-2)
0,32,1.60,106,,,7.36
1,,2.52,145,,,6.69
2,,3.91,203,29.0,,6.16
3,,8.15,342,43.0,,4.65
4,,14.6,552,61.0,,4.28
5,,31.9,989,98.3,,3.73
6,,47.0,1370,124,,3.15
7,36,0.43,37.9,,,9.55
8,,0.77,59.2,,,8.40
9,,1.81,107,18.7,,7.05
10,,4.88,232,33.4,,5.30
11,,8.78,356,47.6,,4.60
12,,15.8,532,66.8,,3.85
13,,33.9,946,107,,3.13
14,,78.3,1830,177,,2.68
15,,141,2740,252,,2.54
16,34,5.59,277,36.6,,4.99
17,,7.07,329,42.8,,5.29
18,35,1.08,72.2,,,6.77
19,,1.26,,,,5.46
20,,1.27,77.8,,,
21,,1.29,81.1,,,5.50
22,,1.33,84.7,,11.7,6.47
23,,1.67,102,,13.4,5.51
24,,2.21,116,,,5.63
25,,3.25,163,,,5.30
26,,3.30,168,,19.6,5.22
27,,4.36,198,,,5.42
28,,4.48,207,,23.6,5.79
29,,6.32,254,,,4.85
30,,7.45,297,,31.2,"4,51"
31,,10.1,375,,,4.26
32,,14.8,482,,46.7,
33,,15.4,,,,3.73
34,,In.l,533,,,3.80
