,Reference,M x 10- 5 (g mo.-I),"[""'] (cm 3 g-I)","R, (nm)",RH (nm),Reference,M X 10- 5 (g mol-I),"[""'] (em'g-I)",Rg (nm),RH (nm)
0,"37,38",0.198,11.9,,,44,3.10,48.7,,
1,,0.440,18.0,,,,4.90,60.3,,
2,,0.505,19.2,,,,12.3,99.2,,
3,,0.550,20.0,,,,24.2,133,,
4,,0.760,24.5,,,,36.3,172,,
5,,0.962,26.6,,,,45.9,186,,
6,,1.25,29.0,,,,55.3,206,,
7,,1.60,34.0,,,,76.2,245,,
8,,1.80,35.4,,,,97.2,275,,
9,,2.47,42.0,,,,,,,
10,,3.94,54.5,17.5,,45,0.37,16.2,,
11,,4.06,55.0,,,,0.50,18.7,,
12,,5.07,60.0,,,,1.11,A27.9,,
13,,6.22,66.0,21.5,,,2.54,42.4,,
14,,6.26,,22.0,,,3.92,52.3,,
15,,8.62,78.0,,,,9.50,82.3,,
16,,10.5,86.0,,,,,,,
17,,10.6,,27.7,,46,0.100,8.90,,
18,,12.0,,30.5,,,0.204,12.3,,
19,,13.3,,31.5,,,0.470,18.4,,
20,,15.6,106,34.8,,,0.972,26.4,,
21,,40.4,,57.1,,,1.60,34.7,,
22,,44.0,,68.1,,,4.11,55.0,,
23,39,0.84,,,6.53,,13.4 30.8,99.0 155,,
24,,1.16,27.9,,7.83,,48.0,192,,
25,,2.16,38.3,,,,86.7,259,,
26,,2.38,,,10.4,,150,350,,
27,,2.75,41.4,,,,232,435,,
28,,6.75,68.4,22.9,18.5,,319,522,,
29,,8.60,77.6,25.5,,,390,564,,
30,,17.0,,37.7,28.2,,568,667,,
31,40,2.38,40.9,,11.1,47,1.06,28.1,,
32,,4.26,52.8,19.0,14.6,,2.94,46.6,,
33,,12.1,92.0,32.2,24.7,,4.20,55.7,,
34,,38.5,165,57.5,45.6,,6.40,68.7,,
35,,54.7,195,69.2,53.6,,9.60,84.2,,
36,41,87.9,,87.9,,48,0.510,19.0,,
37,,152,,116,,,4.81,,,
38,,235,,145,,,0.982,27.0,,6.52
39,,320 380,,167 183,,,1.10 1.83,29.0 36.0,,7.28 8.73
40,,557,,228,,,3.90,53.0,,12.6
41,,,,,,,4.11,56.0,,13.0
42,42,2.49,44.0,,,,4.98,61.0,,14.3
43,,3.41,53.1,,,,8.67,74.0,,17.9
44,,7.65,80.0,25.7,,,18.0,114,,26.2
45,,15.7,116,,,,21.45,,,26.9
46,,28.8,153,48.9,,,,,,
47,43,0.175,10.78,,,49,1.09 1.70,25.1 33.8,,
48,,0.500,17.63,,,,4.22,51.3,,
49,,1.00,24.79,,,,,,,
50,,2.33,41.79,,,50,3.59,51.2,,13.0
51,,6.00,68.77,,,,7.32,73.4,,18.7
52,,18.0,113.9,,,,13.2 ·35.2,98.1 162,,25.1
