,molecule family,R,d F,range,source
0,globular proteins,0.39,2.56,2.04,PDB 13
1,globular proteins,0.39,2.56,1.46,this work
2,PS in toluene,0.41,2.45,2.93,this work
3,PMMAin acetone below 30 kD,0.46,2.17,1.68,this work
4,PS in acetone,0.47,2.15,1.72,this work
5,PS in CDCl 3 below 20 kD,0.47,2.12,1.62,this work
6,PMMAin CDCl 3 below 30 kD,0.48,2.07,1.68,this work
7,oligosaccharides a,0.48,2.07,2.17 (3.40) b,NMR 3
8,PS in THF below 20 kD,0.50,2.01,1.72,this work
9,PEO in D 2 O,0.54,1.86,3.90,this work
10,small molecules in D 2 O a,0.54,1.84,1.39,NMR 5
11,PMMAin acetone above 25 kD,0.54,1.84,1.81,this work
12,PEO in water,0.55,1.82,2.80,NMR 6
13,small molecules in CDCl 3 a,0.56,1.77,1.60,NMR 5
14,DNA,0.57,1.75,1.69,fluorescence 12
15,PEO in CDCl 3,0.58,1.73,4.13,this work
16,"denatured peptide a , c",0.58,1.71,1.15,NMR 2
17,PMMAin CDCl 3 above 25 kD,0.61,1.65,1.81,this work
18,PS in CDCl 3 above 20 kD,0.61,1.63,2.63,this work
19,PS in THF above 20 kD,0.62,1.61,2.00,this work
20,Linear alcanes,0.71,1.41,0.50 (C8 - C26),this work
